Brand,Model,Processor,Generation,RAM (GB),SSD (GB),HDD (GB),Condition,Price (PKR)
HP,EliteBook 840 G5,Core i5,11th Gen,32,256,1000,Like New,105724
Dell,Inspiron 15,Core i7,10th Gen,16,512,500,A-Grade,89423
HP,ProBook 450 G6,Ryzen 7,10th Gen,8,1024,500,Slightly Used,65452
Microsoft,Surface Laptop 3,Core i5,7th Gen,16,128,0,Slightly Used,52957
HP,Pavilion 15,Core i5,11th Gen,4,1024,0,Like New,93214
MSI,Modern 14,Core i5,7th Gen,32,0,500,Like New,70500
MSI,Modern 14,Core i5,6th Gen,4,256,500,Slightly Used,42725
Microsoft,Surface Book 2,Ryzen 3,8th Gen,8,128,500,B-Grade,40350
Asus,VivoBook 15,Core i5,10th Gen,4,128,500,A-Grade,64920
Microsoft,Surface Pro 7,Ryzen 5,8th Gen,8,256,500,Like New,53686
MSI,Prestige 15,Ryzen 3,8th Gen,16,128,0,Slightly Used,45256
Acer,Swift 3,Core i5,8th Gen,8,1024,500,Like New,73299
MSI,Prestige 15,Core i5,10th Gen,4,0,500,B-Grade,63068
Lenovo,ThinkPad X1 Carbon,Celeron,11th Gen,4,0,500,B-Grade,55529
Lenovo,ThinkPad T470,Ryzen 7,11th Gen,4,0,1000,A-Grade,56086
Dell,Latitude 7490,Ryzen 7,10th Gen,32,512,500,B-Grade,79289
MSI,GF63 Thin,Core i5,6th Gen,4,128,500,Slightly Used,42853
Asus,TUF Gaming,Ryzen 5,11th Gen,4,0,500,Like New,59559
Lenovo,ThinkPad X1 Carbon,Core i5,6th Gen,32,512,500,Like New,78623
Lenovo,ThinkPad L480,Core i7,10th Gen,8,0,1000,Like New,78664
Apple,MacBook Pro 2015,Core i5,9th Gen,16,128,500,Slightly Used,96649
Dell,Latitude 5400,Core i5,6th Gen,8,128,1000,B-Grade,46644
Lenovo,IdeaPad 3,Core i3,11th Gen,8,1024,1000,Slightly Used,75382
Lenovo,Legion 5,Core i5,6th Gen,8,0,1000,B-Grade,46335
Asus,ZenBook 14,Ryzen 3,11th Gen,16,1024,1000,B-Grade,82593
Apple,MacBook Pro 2015,Core i5,5th Gen,16,128,0,A-Grade,92362
Apple,MacBook Pro M2,M2,N/A,8,1024,500,B-Grade,88307
MSI,GF63 Thin,Celeron,6th Gen,4,256,1000,Like New,35518
Lenovo,ThinkPad T470,Core i5,7th Gen,16,256,0,A-Grade,55738
Asus,TUF Gaming,Core i5,7th Gen,8,0,500,Slightly Used,47945
Microsoft,Surface Laptop 3,Core i3,8th Gen,32,512,500,Like New,73411
Acer,Swift 3,Core i5,10th Gen,8,0,1000,Like New,69630
Lenovo,ThinkPad T480,Ryzen 7,6th Gen,4,0,500,Like New,28745
HP,ZBook 15,Ryzen 5,10th Gen,32,512,0,A-Grade,77007
Acer,Predator Helios,Ryzen 7,8th Gen,32,128,0,B-Grade,58076
Lenovo,ThinkPad X1 Carbon,Celeron,7th Gen,8,512,500,Like New,41946
Dell,Latitude 5400,Ryzen 7,11th Gen,32,128,500,B-Grade,83537
Acer,Predator Helios,Core i5,11th Gen,16,128,0,Slightly Used,86032
Microsoft,Surface Laptop 3,Ryzen 3,7th Gen,32,0,1000,Like New,55731
Apple,MacBook Pro 2015,Core i7,9th Gen,8,1024,0,Like New,117639
Microsoft,Surface Laptop 3,Ryzen 7,11th Gen,32,0,1000,Slightly Used,80059
Lenovo,ThinkPad T480,Core i5,6th Gen,4,512,0,Like New,51174
Microsoft,Surface Book 2,Ryzen 7,10th Gen,4,0,1000,Slightly Used,49937
Lenovo,ThinkPad T480,Core i3,10th Gen,16,1024,1000,B-Grade,71343
MSI,GF63 Thin,Core i5,10th Gen,32,0,500,A-Grade,86218
Dell,Latitude 5400,Core i3,11th Gen,8,128,0,Slightly Used,64085
Apple,MacBook Pro 2019,Core i7,8th Gen,4,128,0,Slightly Used,100143
Acer,Nitro 5,Core i5,8th Gen,32,1024,1000,A-Grade,91277
HP,EliteBook 840 G3,Core i5,8th Gen,8,512,500,A-Grade,65674
Dell,Precision 5520,Core i5,6th Gen,16,256,500,B-Grade,56320
HP,Spectre x360,Ryzen 7,10th Gen,32,512,500,Slightly Used,81304
MSI,GF63 Thin,Core i5,10th Gen,8,1024,0,Like New,85425
Asus,VivoBook 15,Ryzen 5,10th Gen,32,256,0,B-Grade,72896
Acer,Nitro 5,Core i7,11th Gen,32,256,500,B-Grade,112892
Asus,TUF Gaming,Core i3,11th Gen,8,128,0,Slightly Used,62402
HP,EliteBook 840 G3,Ryzen 5,10th Gen,8,0,500,Like New,53880
MSI,Prestige 15,Core i5,6th Gen,32,256,0,Like New,78286
HP,ProBook 450 G6,Ryzen 7,6th Gen,16,0,500,A-Grade,38385
Microsoft,Surface Laptop 3,Core i5,11th Gen,8,128,0,Like New,81785
HP,ZBook 15,Core i7,11th Gen,8,256,500,Slightly Used,91466
Microsoft,Surface Laptop 3,Core i7,11th Gen,32,128,0,B-Grade,105882
Apple,MacBook Air M1,M1,N/A,16,0,1000,Like New,85649
Asus,TUF Gaming,Ryzen 3,6th Gen,4,128,0,B-Grade,25702
Asus,ROG Strix,Core i7,8th Gen,16,1024,500,B-Grade,86372
Acer,Swift 3,Ryzen 5,11th Gen,32,256,0,A-Grade,85265
Apple,MacBook Pro 2019,Core i7,9th Gen,8,128,0,A-Grade,94764
Asus,ZenBook 14,Core i3,11th Gen,4,512,500,Like New,72799
HP,ProBook 450 G6,Core i5,6th Gen,8,0,500,Slightly Used,43473
Lenovo,ThinkPad T480,Core i5,7th Gen,32,128,500,Slightly Used,67949
Asus,TUF Gaming,Ryzen 5,7th Gen,8,128,1000,B-Grade,29037
Acer,Aspire 5,Ryzen 5,8th Gen,32,0,500,Slightly Used,61277
HP,Pavilion 15,Core i5,6th Gen,32,0,500,Slightly Used,68907
Lenovo,ThinkPad T470,Core i5,8th Gen,32,0,1000,A-Grade,78917
MSI,Modern 14,Celeron,6th Gen,16,1024,1000,Like New,57571
Lenovo,ThinkPad T470,Core i5,10th Gen,32,0,1000,B-Grade,88600
HP,Pavilion 15,Ryzen 5,10th Gen,16,256,1000,B-Grade,62976
MSI,Modern 14,Core i5,6th Gen,8,512,0,A-Grade,51739
Acer,Nitro 5,Ryzen 3,7th Gen,32,128,0,Like New,56955
Acer,Predator Helios,Core i5,11th Gen,16,512,1000,Slightly Used,89527
Microsoft,Surface Book 2,Core i5,6th Gen,32,0,1000,Slightly Used,65701
Lenovo,IdeaPad 3,Core i3,10th Gen,8,256,1000,Slightly Used,54159
HP,ZBook 15,Ryzen 7,10th Gen,8,128,0,B-Grade,48291
MSI,GF63 Thin,Core i7,7th Gen,8,512,1000,A-Grade,65537
Asus,VivoBook 15,Core i5,6th Gen,4,128,1000,Slightly Used,44779
MSI,Modern 14,Ryzen 7,6th Gen,32,256,1000,A-Grade,54527
Microsoft,Surface Laptop 3,Ryzen 5,8th Gen,4,256,1000,A-Grade,40164
Acer,Nitro 5,Core i5,11th Gen,4,128,1000,Like New,74516
Dell,XPS 13,Core i3,8th Gen,8,1024,500,Like New,62538
Microsoft,Surface Book 2,Core i3,11th Gen,32,256,500,Slightly Used,86096
Dell,Inspiron 15,Core i5,10th Gen,4,128,1000,A-Grade,61404
Lenovo,ThinkPad L480,Core i5,6th Gen,32,0,1000,B-Grade,65951
Dell,Latitude 7480,Ryzen 5,11th Gen,8,512,1000,B-Grade,70118
Lenovo,ThinkPad T470,Core i3,11th Gen,8,512,500,Like New,75726
Acer,Swift 3,Ryzen 7,11th Gen,4,1024,0,Like New,78649
Acer,Nitro 5,Ryzen 7,8th Gen,16,0,1000,Like New,50112
Apple,MacBook Pro M2,M2,N/A,32,1024,0,B-Grade,108937
Acer,Nitro 5,Core i5,11th Gen,8,0,1000,Slightly Used,74399
Dell,XPS 13,Core i5,10th Gen,4,128,1000,Slightly Used,60315
Acer,Predator Helios,Ryzen 7,7th Gen,8,512,0,Like New,43818
Lenovo,Legion 5,Core i7,10th Gen,32,0,500,Slightly Used,96974
HP,EliteBook 840 G3,Core i5,8th Gen,8,128,0,Like New,63741
Acer,Predator Helios,Core i7,8th Gen,4,512,1000,B-Grade,71139
Dell,Latitude 5400,Core i5,10th Gen,32,0,500,B-Grade,88021
MSI,Prestige 15,Core i5,8th Gen,32,128,500,Slightly Used,75472
Asus,TUF Gaming,Core i5,11th Gen,16,1024,1000,B-Grade,95485
Microsoft,Surface Laptop 3,Ryzen 3,10th Gen,32,128,0,B-Grade,71723
HP,Spectre x360,Ryzen 3,10th Gen,4,0,500,A-Grade,44061
Apple,MacBook Air 2017,Core i7,9th Gen,8,512,1000,A-Grade,104237
Apple,MacBook Air M1,M1,N/A,4,512,500,B-Grade,71353
Dell,Latitude 7480,Celeron,10th Gen,32,512,500,A-Grade,80842
Asus,VivoBook 15,Core i5,8th Gen,4,128,0,B-Grade,52059
MSI,Prestige 15,Core i7,7th Gen,4,128,1000,A-Grade,50575
Asus,ZenBook 14,Ryzen 7,10th Gen,4,128,1000,Slightly Used,48546
Apple,MacBook Pro M2,M2,N/A,32,128,1000,Slightly Used,90274
HP,ProBook 450 G6,Core i5,10th Gen,32,0,1000,Slightly Used,84164
Apple,MacBook Air 2017,Core i7,9th Gen,16,0,1000,Slightly Used,104259
Dell,Latitude 7490,Celeron,8th Gen,16,128,500,A-Grade,49780
Dell,XPS 13,Core i5,8th Gen,32,128,500,A-Grade,77215
Microsoft,Surface Book 2,Core i5,11th Gen,4,1024,500,Like New,88436
Acer,Swift 3,Celeron,6th Gen,32,128,0,B-Grade,50345
Acer,Predator Helios,Celeron,10th Gen,16,512,0,A-Grade,66350
Asus,ROG Strix,Core i3,8th Gen,16,256,1000,A-Grade,53954
Microsoft,Surface Laptop 3,Ryzen 7,8th Gen,16,0,500,Slightly Used,47961
Lenovo,ThinkPad X1 Carbon,Core i3,8th Gen,16,1024,0,A-Grade,63270
Apple,MacBook Pro 2019,Core i7,8th Gen,4,1024,500,Like New,123510
Apple,MacBook Pro 2015,Core i5,9th Gen,32,256,0,B-Grade,108861
Asus,VivoBook 15,Ryzen 7,8th Gen,16,512,0,Like New,64477
HP,ProBook 450 G6,Ryzen 5,11th Gen,16,128,0,Slightly Used,68262
HP,ZBook 15,Celeron,7th Gen,16,0,1000,A-Grade,35194
Apple,MacBook Pro 2015,Core i7,8th Gen,16,128,500,Like New,120637
Apple,MacBook Air M1,M1,N/A,16,256,0,B-Grade,80544
Lenovo,ThinkPad T470,Core i5,6th Gen,16,128,1000,Slightly Used,55185
Apple,MacBook Air M1,M1,N/A,16,0,1000,A-Grade,76059
MSI,GF63 Thin,Ryzen 5,11th Gen,16,256,0,B-Grade,69885
MSI,GF63 Thin,Ryzen 7,7th Gen,16,128,500,A-Grade,40863
Asus,ZenBook 14,Celeron,7th Gen,16,1024,0,Slightly Used,56565
Apple,MacBook Air M1,M1,N/A,8,512,0,Slightly Used,82737
Asus,VivoBook 15,Ryzen 3,6th Gen,4,128,0,B-Grade,29223
Lenovo,ThinkPad L480,Core i7,7th Gen,32,1024,0,Slightly Used,94891
Lenovo,IdeaPad 3,Celeron,8th Gen,8,128,0,Slightly Used,41891
Acer,Predator Helios,Core i3,8th Gen,4,512,0,A-Grade,41844
Asus,VivoBook 15,Core i7,11th Gen,8,1024,1000,B-Grade,99261
Asus,ROG Strix,Core i5,7th Gen,8,256,0,A-Grade,48326
Apple,MacBook Pro 2019,Core i7,5th Gen,32,0,1000,Slightly Used,118895
Lenovo,IdeaPad 3,Ryzen 5,8th Gen,16,0,500,B-Grade,50668
Microsoft,Surface Book 2,Ryzen 5,7th Gen,16,1024,1000,Like New,61877
MSI,GF63 Thin,Ryzen 3,10th Gen,16,1024,500,Slightly Used,72388
HP,ProBook 450 G6,Core i7,8th Gen,4,128,0,Slightly Used,64883
Dell,Inspiron 15,Core i7,6th Gen,4,0,500,A-Grade,54790
MSI,Prestige 15,Ryzen 3,6th Gen,4,1024,500,B-Grade,43704
MSI,GF63 Thin,Core i5,8th Gen,4,128,0,Slightly Used,51001
Acer,Nitro 5,Ryzen 3,7th Gen,8,1024,1000,Slightly Used,44977
Microsoft,Surface Pro 7,Core i5,6th Gen,32,256,1000,B-Grade,72615
Microsoft,Surface Laptop 3,Ryzen 3,6th Gen,4,1024,1000,B-Grade,41276
Microsoft,Surface Pro 7,Ryzen 5,11th Gen,4,256,0,Like New,65334
Microsoft,Surface Laptop 3,Celeron,11th Gen,32,128,1000,Slightly Used,82368
Asus,ZenBook 14,Ryzen 7,11th Gen,4,0,500,Slightly Used,53331
Dell,Precision 5520,Celeron,10th Gen,16,256,0,Like New,68940
MSI,GF63 Thin,Core i7,6th Gen,8,1024,0,B-Grade,69103
Microsoft,Surface Pro 7,Core i5,11th Gen,32,256,1000,A-Grade,101254
Dell,Latitude 7480,Core i3,8th Gen,8,512,1000,A-Grade,49485
Apple,MacBook Air M1,M1,N/A,4,256,1000,Slightly Used,70449
Apple,MacBook Air 2017,Core i7,8th Gen,4,128,1000,Slightly Used,99090
MSI,Prestige 15,Core i5,6th Gen,16,128,1000,A-Grade,50365
Asus,ZenBook 14,Core i5,8th Gen,8,0,1000,Slightly Used,59331
Lenovo,IdeaPad 3,Core i7,7th Gen,16,128,0,Slightly Used,64568
Dell,XPS 13,Core i5,8th Gen,8,1024,0,Like New,78675
Apple,MacBook Pro 2019,Core i5,8th Gen,4,1024,0,B-Grade,108018
Apple,MacBook Air 2017,Core i7,9th Gen,32,128,0,Like New,123246
Apple,MacBook Air M1,M1,N/A,8,0,1000,B-Grade,72075
HP,ProBook 450 G6,Core i7,7th Gen,16,1024,1000,B-Grade,76724
Microsoft,Surface Book 2,Core i5,10th Gen,32,512,0,Like New,98764
Dell,Latitude 7480,Core i7,8th Gen,4,128,1000,Like New,66918
Dell,Latitude 5400,Core i5,8th Gen,16,128,0,B-Grade,61415
Asus,VivoBook 15,Ryzen 5,6th Gen,4,0,1000,Like New,29813
Dell,XPS 13,Celeron,11th Gen,16,0,1000,A-Grade,66349
Asus,TUF Gaming,Core i5,6th Gen,16,1024,500,Like New,75993
Microsoft,Surface Pro 7,Ryzen 3,6th Gen,16,1024,1000,A-Grade,53943
Lenovo,ThinkPad T480,Ryzen 7,6th Gen,8,128,1000,Slightly Used,29879
Lenovo,ThinkPad T470,Core i7,8th Gen,4,1024,0,Like New,79375
Lenovo,ThinkPad X1 Carbon,Core i7,6th Gen,4,512,1000,A-Grade,59161
HP,ProBook 450 G6,Ryzen 3,6th Gen,32,0,500,Slightly Used,51783
Asus,ROG Strix,Core i5,10th Gen,16,512,500,B-Grade,82053
Apple,MacBook Pro M2,M2,N/A,4,256,500,B-Grade,70282
Dell,Latitude 5400,Core i3,6th Gen,32,1024,500,A-Grade,64421
Dell,Precision 5520,Celeron,6th Gen,32,256,0,Slightly Used,52546
Acer,Predator Helios,Core i7,10th Gen,32,128,500,Like New,101304
Lenovo,Legion 5,Core i5,7th Gen,4,512,1000,A-Grade,48604
HP,ZBook 15,Core i3,7th Gen,4,1024,1000,Like New,44830
HP,Spectre x360,Core i3,11th Gen,4,1024,500,B-Grade,73527
Acer,Nitro 5,Core i5,8th Gen,4,128,0,Like New,55928
Asus,TUF Gaming,Ryzen 3,10th Gen,32,128,500,B-Grade,74332
Acer,Predator Helios,Core i5,11th Gen,4,128,0,Slightly Used,70136
Asus,VivoBook 15,Ryzen 3,6th Gen,16,1024,0,A-Grade,51432
HP,EliteBook 840 G3,Core i3,7th Gen,8,512,1000,Slightly Used,37051
MSI,GF63 Thin,Core i5,11th Gen,8,1024,0,B-Grade,90832
MSI,GF63 Thin,Ryzen 5,7th Gen,4,128,500,A-Grade,24816
Apple,MacBook Air M1,M1,N/A,8,256,500,Slightly Used,77114
Asus,VivoBook 15,Core i5,10th Gen,16,512,500,A-Grade,80037
Acer,Swift 3,Core i7,11th Gen,32,512,0,A-Grade,117921
Acer,Swift 3,Core i5,7th Gen,8,256,0,B-Grade,53094
MSI,Modern 14,Ryzen 3,6th Gen,4,0,500,Slightly Used,24830
Dell,Latitude 7490,Core i3,10th Gen,16,512,1000,Like New,68828
Apple,MacBook Pro 2019,Core i7,8th Gen,4,0,1000,B-Grade,98091
HP,ZBook 15,Core i3,6th Gen,4,256,500,Like New,36893
Asus,ZenBook 14,Core i3,6th Gen,16,512,1000,B-Grade,47471
Apple,MacBook Air M1,M1,N/A,4,0,500,B-Grade,65874
Lenovo,ThinkPad T470,Core i5,6th Gen,32,1024,500,Like New,86777
Lenovo,ThinkPad T480,Core i7,6th Gen,4,0,500,A-Grade,49523
Acer,Swift 3,Ryzen 7,6th Gen,32,1024,1000,Slightly Used,64172
Dell,Latitude 7490,Core i5,10th Gen,16,0,1000,Slightly Used,76131
Dell,Latitude 5400,Ryzen 5,6th Gen,4,512,500,B-Grade,37283
Dell,XPS 13,Core i5,10th Gen,16,256,500,Slightly Used,77318
Acer,Swift 3,Celeron,11th Gen,8,1024,1000,Slightly Used,74064
Lenovo,Legion 5,Ryzen 5,8th Gen,4,256,500,Slightly Used,42083
Acer,Nitro 5,Ryzen 3,8th Gen,8,128,1000,B-Grade,39868
HP,ZBook 15,Ryzen 3,7th Gen,8,128,0,A-Grade,34462
Lenovo,ThinkPad T470,Celeron,8th Gen,4,256,1000,Slightly Used,37321
MSI,Prestige 15,Ryzen 7,6th Gen,8,1024,500,B-Grade,49500
HP,ProBook 450 G6,Core i7,11th Gen,32,256,0,Like New,117020
Apple,MacBook Pro 2019,Core i7,9th Gen,4,256,1000,Like New,100931
Acer,Nitro 5,Core i5,10th Gen,4,0,500,Slightly Used,61879
Microsoft,Surface Book 2,Core i3,8th Gen,32,1024,0,A-Grade,76814
HP,Pavilion 15,Ryzen 3,8th Gen,16,128,500,Slightly Used,45915
Dell,Inspiron 15,Core i5,11th Gen,8,128,1000,Slightly Used,74118
Apple,MacBook Air M1,M1,N/A,4,1024,0,Like New,88831
HP,ZBook 15,Ryzen 7,8th Gen,16,0,500,Slightly Used,50069
Microsoft,Surface Pro 7,Ryzen 5,7th Gen,8,1024,1000,B-Grade,45353
Dell,Latitude 5400,Ryzen 7,8th Gen,32,0,500,Slightly Used,64940
Microsoft,Surface Book 2,Core i3,10th Gen,32,256,0,Slightly Used,78289
Asus,ZenBook 14,Ryzen 5,8th Gen,4,512,1000,Like New,52496
HP,Pavilion 15,Celeron,6th Gen,8,512,0,B-Grade,37839
Apple,MacBook Pro 2015,Core i5,8th Gen,32,0,500,A-Grade,115103
Microsoft,Surface Pro 7,Ryzen 7,7th Gen,16,0,500,Slightly Used,39145
Acer,Aspire 5,Ryzen 3,11th Gen,4,256,1000,B-Grade,63076
HP,Pavilion 15,Ryzen 5,7th Gen,16,1024,1000,Like New,59241
Acer,Predator Helios,Core i5,11th Gen,4,256,1000,B-Grade,76975
MSI,GF63 Thin,Ryzen 5,10th Gen,4,512,0,Slightly Used,54385
MSI,Modern 14,Celeron,11th Gen,4,256,500,Like New,62254
Apple,MacBook Air M1,M1,N/A,32,512,0,A-Grade,101717
HP,Spectre x360,Core i5,7th Gen,8,128,500,B-Grade,43763
MSI,Modern 14,Celeron,7th Gen,32,512,500,A-Grade,60099
Apple,MacBook Pro M2,M2,N/A,4,512,500,Slightly Used,75720
Acer,Swift 3,Ryzen 7,6th Gen,32,0,500,B-Grade,53821
Dell,Precision 5520,Celeron,6th Gen,16,1024,500,B-Grade,54857
Asus,TUF Gaming,Core i5,7th Gen,4,0,500,A-Grade,43667
Dell,Latitude 7480,Ryzen 5,11th Gen,8,256,1000,Like New,68776
Asus,VivoBook 15,Core i5,10th Gen,4,128,0,B-Grade,60149
Lenovo,IdeaPad 3,Ryzen 3,6th Gen,8,128,500,A-Grade,30287
Asus,VivoBook 15,Celeron,7th Gen,32,1024,500,Slightly Used,63657
Asus,ZenBook 14,Core i5,10th Gen,8,1024,1000,Slightly Used,80316
HP,Pavilion 15,Ryzen 7,8th Gen,4,1024,1000,B-Grade,48982
Lenovo,IdeaPad 3,Core i3,10th Gen,8,0,500,Like New,53857
HP,ProBook 450 G6,Core i7,10th Gen,4,256,1000,Like New,78546
Asus,TUF Gaming,Core i5,6th Gen,4,128,1000,Like New,47479
Lenovo,IdeaPad 3,Ryzen 7,11th Gen,8,0,1000,Like New,63210
Microsoft,Surface Laptop 3,Ryzen 3,10th Gen,8,0,1000,Slightly Used,52301
Lenovo,IdeaPad 3,Core i7,7th Gen,8,256,0,A-Grade,63035
Dell,Latitude 5400,Core i5,10th Gen,4,0,500,Like New,67301
Acer,Swift 3,Core i5,8th Gen,8,512,0,Like New,67556
Dell,Latitude 5400,Core i5,10th Gen,32,1024,1000,Like New,109520
Dell,Latitude 7490,Ryzen 3,11th Gen,16,128,500,Slightly Used,68462
Asus,ZenBook 14,Core i3,7th Gen,16,512,500,Slightly Used,44532
MSI,Prestige 15,Core i5,8th Gen,8,128,1000,A-Grade,55060
Lenovo,IdeaPad 3,Core i5,8th Gen,32,0,500,B-Grade,77490
MSI,Prestige 15,Core i5,7th Gen,8,0,500,Slightly Used,46741
Apple,MacBook Pro 2015,Core i5,9th Gen,4,256,1000,Slightly Used,82263
Lenovo,ThinkPad T470,Ryzen 5,6th Gen,4,1024,0,A-Grade,38469
Dell,Latitude 5400,Core i5,7th Gen,16,512,1000,A-Grade,59611
MSI,GF63 Thin,Core i5,11th Gen,32,256,500,B-Grade,103585
Lenovo,ThinkPad T470,Core i5,7th Gen,16,0,1000,Slightly Used,52790
Asus,TUF Gaming,Core i3,8th Gen,4,512,500,B-Grade,46150
MSI,Prestige 15,Celeron,11th Gen,16,0,500,Slightly Used,65075
Microsoft,Surface Pro 7,Ryzen 7,8th Gen,16,128,0,B-Grade,51471
HP,Pavilion 15,Core i5,8th Gen,16,512,500,Slightly Used,73585
Dell,Latitude 5400,Core i3,10th Gen,16,1024,1000,B-Grade,72357
